NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,TRIAL_TYPE
1,0,-1,0.9208316740000555,10,3,0,0,column
2,0,-1,0.4225303690000146,10,3,0,0,column
3,1,-1,0.38729654100006883,16,5,0,0,diagonal
4,1,1,0.3004991089999294,13,4,0,-,row
5,1,1,0.26574605500013604,13,4,0,-,row
6,1,-1,0.29379390100007186,16,5,1,1,column
7,1,-1,0.2664009469999655,13,4,1,2,diagonal
8,1,-1,0.2558147760000793,10,3,0,-,column
9,1,1,0.2212667250000777,10,3,0,-,row
10,1,1,0.25417111700016903,10,3,0,-,row
11,1,-1,0.3157192149999446,13,4,1,3,diagonal
